                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2279,                 2.3422,                 1.2588,                0.05093,                      1,                0.26656,                0.17418,                 1.2247,                 6.0222,                 1.1687,                0.00044,                0.00044,                0.00044
                      2,                 1.1408,                 1.5931,                 1.1971,                0.09455,                0.14286,                0.12343,                0.09298,                 1.1103,                 6.9012,                 1.1321,             0.00089109,             0.00089109,             0.00089109
                      3,                 1.1528,                 1.4512,                 1.1919,                0.25494,                0.57143,                0.21359,                0.15342,                 1.3383,                  7.656,                 1.2326,              0.0013331,              0.0013331,              0.0013331
                      4,                 1.1617,                  1.388,                 1.2067,                0.04562,                0.42857,                0.05256,                0.03269,                 1.6098,                 13.819,                 1.4814,              0.0017659,              0.0017659,              0.0017659
                      5,                 1.1206,                 1.2926,                 1.1707,                0.12011,                0.42857,                 0.2297,                0.16837,                 1.1728,                 13.513,                 1.2956,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1242,                 1.2083,                   1.17,                0.11063,                0.42857,                0.23448,                0.16838,                 1.2477,                 18.591,                 1.3661,               0.001901,               0.001901,               0.001901
                      7,                 1.1317,                 1.1308,                 1.1851,                0.17258,                0.85714,                0.23471,                0.17777,                 1.3694,                 14.218,                 1.4077,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0907,                 1.0825,                 1.1596,                0.13798,                0.57143,                0.24467,                 0.1515,                 1.4899,                 10.673,                 1.6359,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1141,                  1.073,                 1.1635,                0.12217,                0.85714,                0.13722,                0.09573,                  1.224,                 17.466,                 1.3634,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0539,                 1.0083,                 1.1316,                0.14646,                0.85714,                0.17206,                0.12209,                 1.1384,                 8.4225,                 1.3677,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.053,                0.95994,                 1.1299,                0.15648,                0.84829,                0.16171,                0.09784,                 1.3109,                 11.341,                 1.3564,               0.001802,               0.001802,               0.001802
                     12,                 1.0203,                0.95679,                 1.1218,                0.18759,                0.71429,                0.23408,                0.17864,                 1.1075,                 7.1362,                 1.3838,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0512,                  0.977,                  1.151,                0.12186,                0.57143,                0.18715,                0.13256,                  1.308,                 9.2337,                 1.3889,              0.0017624,              0.0017624,              0.0017624
                     14,                 0.9985,                0.89411,                 1.1076,                0.13441,                      1,                0.15765,                0.11348,                 1.3189,                 8.3968,                 1.3852,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0253,                 0.9364,                 1.1356,                0.22702,                0.71429,                  0.249,                0.18234,                 1.3283,                 7.8038,                 1.3995,              0.0017228,              0.0017228,              0.0017228
                     16,                0.95376,                0.91735,                 1.1003,                0.12196,                      1,                0.12437,                0.08836,                 1.2369,                 7.5054,                 1.2741,               0.001703,               0.001703,               0.001703
                     17,                0.97767,                0.88303,                 1.1029,                0.10107,                0.85714,                0.14138,                0.10198,                 1.3398,                 7.2816,                 1.3256,              0.0016832,              0.0016832,              0.0016832
                     18,                0.95833,                0.81228,                 1.0919,                0.09857,                      1,                0.15395,                0.10847,                 1.4402,                  9.385,                 1.4813,              0.0016634,              0.0016634,              0.0016634
                     19,                0.95561,                 0.8094,                 1.0872,                0.12144,                0.57143,                0.14953,                0.10251,                 1.4613,                 7.8418,                 1.4411,              0.0016436,              0.0016436,              0.0016436
                     20,                0.92817,                0.81943,                 1.0731,                0.10532,                      1,                0.11942,                0.07413,                 1.4746,                 9.6954,                 1.5208,              0.0016238,              0.0016238,              0.0016238
                     21,                0.95267,                0.82325,                  1.093,                   0.11,                      1,                0.11805,                0.08266,                  1.347,                 6.9919,                 1.2899,               0.001604,               0.001604,               0.001604
                     22,                0.91202,                0.80958,                 1.0806,                0.12179,                      1,                0.26158,                 0.2228,                 1.2719,                 5.2191,                 1.2736,              0.0015842,              0.0015842,              0.0015842
                     23,                0.95103,                0.77407,                 1.0924,                0.10994,                0.71429,                0.14124,                0.10033,                 1.2593,                  7.763,                 1.2711,              0.0015644,              0.0015644,              0.0015644
                     24,                0.93811,                 0.8087,                 1.0965,                  0.137,                0.57143,                0.16117,                0.11311,                 1.3235,                 7.1659,                 1.3205,              0.0015446,              0.0015446,              0.0015446
                     25,                 0.9281,                0.81399,                 1.0752,                0.11409,                 0.7549,                0.16397,                0.11746,                 1.1987,                 7.9811,                 1.2764,              0.0015248,              0.0015248,              0.0015248
                     26,                0.90177,                0.76941,                 1.0661,                0.11631,                      1,                0.13961,                0.09075,                  1.369,                 7.7181,                 1.3615,               0.001505,               0.001505,               0.001505
                     27,                0.90291,                0.75685,                  1.076,                 0.1061,                      1,                0.11812,                0.08002,                 1.3469,                 8.3658,                 1.4376,              0.0014852,              0.0014852,              0.0014852
                     28,                0.92358,                 0.7832,                 1.0946,                0.10979,                      1,                0.12492,                0.09051,                 1.2185,                 5.9549,                 1.3177,              0.0014654,              0.0014654,              0.0014654
                     29,                0.88509,                0.75022,                 1.0783,                0.10728,                      1,                0.11805,                0.07569,                 1.4363,                 6.1755,                 1.3854,              0.0014456,              0.0014456,              0.0014456
                     30,                0.90155,                0.74762,                 1.0797,                0.10428,                      1,                0.12013,                0.07709,                 1.3303,                 7.0889,                 1.3188,              0.0014258,              0.0014258,              0.0014258
                     31,                0.88452,                0.77365,                 1.0677,                0.10647,                      1,                0.13025,                0.09216,                 1.2692,                 6.2944,                 1.3936,               0.001406,               0.001406,               0.001406
                     32,                0.85203,                0.73378,                 1.0526,                0.18446,                0.28571,                0.18203,                0.13495,                 1.3468,                 8.5457,                 1.3184,              0.0013862,              0.0013862,              0.0013862
                     33,                0.86667,                0.75668,                 1.0687,                0.23749,                0.42857,                0.24889,                0.20015,                 1.1835,                 7.6327,                 1.1761,              0.0013664,              0.0013664,              0.0013664
                     34,                0.85963,                0.71151,                 1.0561,                0.14224,                0.28571,                0.27166,                0.21726,                 1.2373,                 6.2834,                 1.2503,              0.0013466,              0.0013466,              0.0013466
                     35,                 0.8698,                0.71427,                 1.0382,                0.11405,                0.85714,                0.15749,                0.11663,                 1.1544,                 6.5575,                 1.2374,              0.0013268,              0.0013268,              0.0013268
                     36,                0.92324,                 0.7372,                 1.0938,                0.12404,                      1,                0.13657,                0.09491,                 1.1145,                 6.3336,                 1.1991,               0.001307,               0.001307,               0.001307
                     37,                0.85722,                0.71446,                 1.0376,                0.10595,                      1,                0.11418,                0.07771,                 1.2851,                  7.202,                 1.3452,              0.0012872,              0.0012872,              0.0012872
                     38,                0.86052,                0.69034,                 1.0476,                0.11004,                      1,                0.18382,                0.13327,                 1.3518,                 7.3902,                 1.3704,              0.0012674,              0.0012674,              0.0012674
                     39,                0.85316,                0.71499,                 1.0505,                0.12779,                0.85714,                0.15758,                0.10035,                 1.4035,                 6.0725,                 1.4095,              0.0012476,              0.0012476,              0.0012476
                     40,                0.82557,                0.66828,                 1.0326,                0.10779,                      1,                0.14278,                0.10012,                 1.3886,                 9.5053,                 1.3949,              0.0012278,              0.0012278,              0.0012278
                     41,                0.87318,                0.70133,                 1.0546,                0.28289,                0.28571,                0.27823,                0.22499,                 1.3466,                 6.5293,                 1.3815,               0.001208,               0.001208,               0.001208
                     42,                0.85058,                 0.7241,                 1.0562,                0.11255,                      1,                0.12007,                0.09013,                 1.2251,                 4.7965,                 1.3628,              0.0011882,              0.0011882,              0.0011882
                     43,                0.85137,                0.65715,                  1.044,                0.11185,                      1,                0.11853,                0.08445,                 1.1459,                 5.9871,                  1.316,              0.0011684,              0.0011684,              0.0011684
                     44,                 0.8417,                0.69695,                 1.0474,                0.10545,                      1,                0.10921,                0.08102,                 1.2952,                 6.1569,                 1.4245,              0.0011486,              0.0011486,              0.0011486
                     45,                0.84065,                0.70551,                 1.0309,                0.10134,                      1,                0.10553,                0.06877,                 1.3601,                  7.864,                 1.4483,              0.0011288,              0.0011288,              0.0011288
                     46,                0.80525,                0.66405,                  1.024,                0.11509,                      1,                0.12219,                0.08321,                 1.3439,                 6.4272,                 1.4349,               0.001109,               0.001109,               0.001109
                     47,                0.82468,                0.70302,                 1.0419,                0.10975,                      1,                0.11805,                0.07953,                  1.301,                  6.959,                 1.4146,              0.0010892,              0.0010892,              0.0010892
                     48,                0.82012,                0.67674,                 1.0368,                 0.1412,                0.71429,                0.14842,                 0.1033,                 1.1722,                 6.4339,                 1.3633,              0.0010694,              0.0010694,              0.0010694
                     49,                0.78386,                0.64781,                  1.011,                0.10352,                      1,                0.13745,                0.10284,                 1.2274,                 7.3245,                 1.3602,              0.0010496,              0.0010496,              0.0010496
                     50,                0.80283,                0.63453,                 1.0301,                0.10502,                0.85714,                0.12956,                0.08842,                 1.2693,                 7.5374,                 1.3319,              0.0010298,              0.0010298,              0.0010298
                     51,                0.77749,                0.64046,                 1.0138,                0.12105,                      1,                0.12898,                0.08848,                 1.2419,                 7.6608,                 1.4113,                0.00101,                0.00101,                0.00101
                     52,                0.76201,                0.62802,                 1.0009,                0.28265,                0.42857,                0.39146,                0.29555,                 1.2782,                 6.7393,                 1.4421,              0.0009902,              0.0009902,              0.0009902
                     53,                0.77248,                0.62394,                 1.0099,                0.21777,                0.57143,                0.33236,                0.24916,                 1.2392,                 7.1365,                 1.4805,              0.0009704,              0.0009704,              0.0009704
                     54,                0.77631,                0.61937,                  1.018,                0.10367,                      1,                0.16229,                0.11543,                 1.2425,                 7.9027,                 1.4042,              0.0009506,              0.0009506,              0.0009506
                     55,                  0.755,                0.61917,                 1.0062,                0.11431,                      1,                0.14848,                0.09496,                 1.3953,                 5.8606,                  1.504,              0.0009308,              0.0009308,              0.0009308
                     56,                0.79091,                0.62207,                 1.0228,                0.12434,                0.85714,                0.13934,                0.09445,                 1.3318,                 6.4333,                 1.4729,               0.000911,               0.000911,               0.000911
                     57,                0.74507,                0.58915,                 1.0016,                0.11297,                0.85714,                0.14458,                 0.1024,                 1.2597,                 7.1987,                 1.4122,              0.0008912,              0.0008912,              0.0008912
                     58,                0.75828,                0.59684,                 1.0163,                0.11705,                      1,                0.16931,                0.11993,                 1.2249,                 8.3232,                 1.3845,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.7558,                0.60142,                 1.0139,                0.12344,                      1,                0.14672,                0.10927,                 1.1896,                 6.6754,                 1.3536,              0.0008516,              0.0008516,              0.0008516
                     60,                0.77048,                0.59525,                 1.0156,                0.10822,                      1,                0.11665,                0.08386,                 1.2675,                 7.0735,                 1.4011,              0.0008318,              0.0008318,              0.0008318
                     61,                0.72193,                0.58604,                 0.9923,                0.11891,                      1,                0.13394,                0.09084,                 1.2671,                  6.138,                 1.3584,               0.000812,               0.000812,               0.000812
                     62,                0.74595,                0.60655,                 1.0011,                0.13292,                      1,                0.15075,                0.10717,                   1.17,                 5.9462,                 1.3463,              0.0007922,              0.0007922,              0.0007922
                     63,                0.73892,                0.58008,                0.99351,                0.14473,                0.85714,                0.15305,                0.11103,                 1.1836,                 7.2032,                 1.2926,              0.0007724,              0.0007724,              0.0007724
                     64,                0.72944,                0.58543,                0.99664,                0.11343,                      1,                0.12985,                 0.0916,                 1.2386,                 6.7687,                  1.379,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.7298,                0.59074,                 1.0078,                 0.1122,                      1,                0.12009,                 0.0802,                 1.2575,                  7.261,                 1.4261,              0.0007328,              0.0007328,              0.0007328
                     66,                0.70549,                0.56306,                0.98063,                0.10785,                      1,                0.12675,                0.08602,                 1.2937,                 8.1919,                 1.4373,               0.000713,               0.000713,               0.000713
                     67,                0.72485,                0.56343,                 1.0008,                 0.1107,                      1,                0.12898,                0.08823,                 1.3107,                 8.2306,                 1.4558,              0.0006932,              0.0006932,              0.0006932
                     68,                0.72803,                0.57896,                0.99831,                0.10411,                      1,                0.19607,                0.13064,                 1.3164,                 8.0722,                 1.4071,              0.0006734,              0.0006734,              0.0006734
                     69,                0.72269,                0.55219,                0.98754,                0.10918,                      1,                0.13494,                0.10085,                  1.354,                 7.4867,                 1.4385,              0.0006536,              0.0006536,              0.0006536
                     70,                0.70416,                0.54439,                0.96951,                0.11534,                      1,                0.25065,                0.20218,                 1.3069,                 7.5706,                 1.4383,              0.0006338,              0.0006338,              0.0006338
                     71,                0.71514,                0.56635,                0.99641,                0.10358,                      1,                0.15147,                0.11419,                 1.2914,                 7.8286,                 1.4104,               0.000614,               0.000614,               0.000614
                     72,                0.69409,                0.54156,                0.98367,                0.11238,                      1,                0.18359,                0.13533,                  1.332,                 7.7161,                 1.4308,              0.0005942,              0.0005942,              0.0005942
                     73,                0.70151,                0.54298,                0.98653,                0.11882,                0.57143,                0.17342,                0.13375,                 1.2467,                 7.1567,                 1.4492,              0.0005744,              0.0005744,              0.0005744
                     74,                0.69847,                0.54662,                0.98501,                0.11482,                0.57143,                0.23318,                0.18033,                 1.2863,                 6.7994,                 1.4596,              0.0005546,              0.0005546,              0.0005546
                     75,                0.68692,                0.54634,                0.98798,                0.13541,                0.85714,                0.15911,                0.10802,                 1.2966,                 7.0006,                 1.4432,              0.0005348,              0.0005348,              0.0005348
                     76,                0.67901,                0.55087,                0.97515,                0.12177,                      1,                0.18293,                 0.1363,                 1.2893,                 6.7991,                 1.4146,               0.000515,               0.000515,               0.000515
                     77,                0.66881,                0.53317,                0.97498,                0.13032,                      1,                0.16709,                0.12351,                 1.2422,                 7.0481,                 1.4152,              0.0004952,              0.0004952,              0.0004952
                     78,                0.68067,                0.53327,                0.97705,                0.11373,                0.85714,                0.14293,                 0.1028,                 1.2285,                 8.5688,                 1.4528,              0.0004754,              0.0004754,              0.0004754
                     79,                0.65228,                0.51747,                0.96509,                0.11834,                      1,                0.12798,                0.08986,                 1.2842,                 7.6978,                 1.4893,              0.0004556,              0.0004556,              0.0004556
                     80,                0.70992,                0.56485,                0.99077,                0.10765,                      1,                 0.1196,                0.08729,                 1.2466,                 6.7843,                 1.4319,              0.0004358,              0.0004358,              0.0004358
                     81,                0.64551,                0.50085,                0.94694,                0.10553,                      1,                0.11434,                0.08676,                 1.2084,                 7.5862,                 1.4218,               0.000416,               0.000416,               0.000416
                     82,                0.66842,                0.51904,                0.98868,                0.10721,                      1,                0.10765,                0.08209,                 1.2017,                 7.7317,                  1.393,              0.0003962,              0.0003962,              0.0003962
                     83,                0.66569,                0.54191,                0.98205,                0.11188,                      1,                0.11608,                0.08664,                 1.1456,                 7.7114,                 1.4021,              0.0003764,              0.0003764,              0.0003764
                     84,                0.64931,                 0.5071,                0.97744,                0.10811,                      1,                0.19823,                0.16078,                 1.1751,                 7.2813,                 1.3968,              0.0003566,              0.0003566,              0.0003566
                     85,                0.64538,                0.52447,                0.96161,                0.08721,                0.28571,                0.33298,                0.26549,                 1.2057,                 7.9669,                 1.4314,              0.0003368,              0.0003368,              0.0003368
                     86,                0.62485,                0.49841,                 0.9461,                0.10911,                0.71429,                0.19659,                0.15409,                 1.1828,                  7.862,                 1.4365,               0.000317,               0.000317,               0.000317
                     87,                0.64675,                0.51119,                0.95586,                 0.1131,                      1,                0.16147,                0.12619,                 1.2301,                 7.2038,                 1.4395,              0.0002972,              0.0002972,              0.0002972
                     88,                 0.6566,                0.51122,                 0.9797,                0.11817,                 0.9003,                0.13745,                0.09699,                 1.2168,                 7.5206,                 1.4357,              0.0002774,              0.0002774,              0.0002774
                     89,                0.64747,                 0.4927,                0.98147,                0.13626,                      1,                0.14785,                0.10926,                 1.2055,                 7.1294,                 1.4061,              0.0002576,              0.0002576,              0.0002576
                     90,                0.63634,                0.50547,                0.95308,                0.12119,                      1,                0.23454,                0.18438,                 1.2425,                  8.078,                 1.3904,              0.0002378,              0.0002378,              0.0002378
                     91,                0.50592,                0.39157,                0.86229,                0.11597,                      1,                0.29136,                0.24952,                 1.1986,                 7.7452,                 1.4061,               0.000218,               0.000218,               0.000218
                     92,                0.49847,                0.38429,                0.86953,                0.11616,                      1,                 0.1309,                0.09936,                 1.1533,                 7.1964,                 1.4054,              0.0001982,              0.0001982,              0.0001982
                     93,                0.49409,                0.36863,                0.86154,                0.11996,                      1,                0.12696,                0.09168,                 1.2197,                 6.9952,                 1.4204,              0.0001784,              0.0001784,              0.0001784
                     94,                0.48182,                0.37239,                0.85276,                 0.1214,                      1,                0.12437,                0.09461,                 1.1758,                 7.0789,                  1.404,              0.0001586,              0.0001586,              0.0001586
                     95,                  0.479,                0.36356,                0.84906,                0.12013,                      1,                0.12541,                0.09644,                 1.1704,                 7.8002,                 1.4246,              0.0001388,              0.0001388,              0.0001388
                     96,                0.47003,                0.36227,                0.85826,                0.11856,                      1,                0.13069,                0.10441,                 1.1696,                 7.5783,                 1.4343,               0.000119,               0.000119,               0.000119
                     97,                 0.4794,                0.37176,                0.85048,                0.11997,                      1,                0.12437,                0.09742,                 1.1945,                 6.8562,                 1.4231,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.46865,                0.35451,                0.85398,                0.12166,                      1,                0.12251,                0.09205,                 1.2111,                 7.4646,                  1.438,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.47363,                 0.3551,                 0.8579,                0.11975,                      1,                0.13219,                0.10072,                 1.2325,                 7.5011,                 1.4456,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.47243,                0.35142,                0.86405,                0.11993,                      1,                0.13219,                 0.1007,                 1.2306,                 7.4358,                 1.4477,               3.98e-05,               3.98e-05,               3.98e-05
